feature,chi2_score,p_value
today help,0.17048131113566706,0.6796844050719858
uri_text,0.17033210493278161,0.6798168240604173
spamassassin permsgstatus,0.17033210493278161,0.6798168240604173
closing date,0.17032744737376454,0.6798209586890107
transcriptional,0.1702921432896386,0.6798523011360085
decades,0.170242420725722,0.6798964505465619
offer just,0.17023896086992163,0.6798995228851938
trouble viewing,0.17019705672021543,0.6799367365100686
kv,0.17007946463134238,0.6800411946119558
linux unix,0.1700624646127109,0.680056299375641
sincerely jennifer,0.17003315140173442,0.6800823466646428
stay safe,0.1700326801384471,0.6800827654437382
saved,0.17001766629257353,0.6800961075657826
person,0.17000286154343974,0.6801092645480118
schools hospitals,0.16999343081043242,0.6801176459909859
proceedings,0.16993999710666388,0.6801651396471431
away act,0.16988010945768278,0.6802183801678874
comparison,0.1698691704082443,0.6802281062418309
close_db,0.16986742695391394,0.6802296564072356
httpserver,0.16986742695391394,0.6802296564072356
better understand,0.16985277835811985,0.6802426813468241
addition,0.1698422043869422,0.6802520837031454
different content,0.16982455009534514,0.6802677826308443
created account,0.16970594882614523,0.6803732725492371
com 2007,0.16957421090902153,0.6804904974188137
changes branch,0.16956343047482897,0.6805000925721025
11 12,0.16952785158452388,0.6805317621870038
campaign provide,0.1693857862115518,0.6806582567057171
neural networks,0.16937872299996426,0.6806645473834653
generosity bring,0.16937053362472945,0.6806718412435115
surrender,0.1693464924049104,0.6806932547266474
duncan murdoch,0.16934273768499603,0.6806965992112464
murdoch,0.16934273768499603,0.6806965992112464
duncan,0.16934273768499603,0.6806965992112464
iras,0.16932599010662586,0.6807115175012193
discusses,0.16930573517587452,0.6807295611985091
work progress,0.1692528505486281,0.6807766783541793
teaching,0.1692507149723272,0.6807785812104025
commercial,0.16921887049673387,0.6808069571644755
support bring,0.16919483574049043,0.6808283761063592
warming,0.16914744131807397,0.680870617585771
backports,0.16909443955662767,0.6809178649441905
16803,0.1690657685836763,0.6809434267167276
day weather,0.1690657685836763,0.6809434267167276
high 76,0.1690657685836763,0.6809434267167276
state college,0.1690657685836763,0.6809434267167276
high 75,0.1690657685836763,0.6809434267167276
76 low,0.1690657685836763,0.6809434267167276
road state,0.1690657685836763,0.6809434267167276
hills ca,0.1690657685836763,0.6809434267167276
high 73,0.1690657685836763,0.6809434267167276
contact need,0.1690657685836763,0.6809434267167276
email ktwarwic,0.1690657685836763,0.6809434267167276
pa 16803,0.1690657685836763,0.6809434267167276
page send,0.1690657685836763,0.6809434267167276
saturday low,0.1690657685836763,0.6809434267167276
weather forecast,0.1690657685836763,0.6809434267167276
science park,0.1690657685836763,0.6809434267167276
day forecast,0.1690657685836763,0.6809434267167276
16803 copyright,0.1690657685836763,0.6809434267167276
visit faq,0.1690657685836763,0.6809434267167276
service visit,0.1690657685836763,0.6809434267167276
alert forecast,0.1690657685836763,0.6809434267167276
2007 accuweather,0.1690657685836763,0.6809434267167276
byhour,0.1690657685836763,0.6809434267167276
mail webhelp,0.1690657685836763,0.6809434267167276
accuweather rights,0.1690657685836763,0.6809434267167276
subscribed receive,0.1690657685836763,0.6809434267167276
welcome feedback,0.1690657685836763,0.6809434267167276
beverly hills,0.1690657685836763,0.6809434267167276
beverly,0.1690657685836763,0.6809434267167276
write accuweather,0.1690657685836763,0.6809434267167276
receive daily,0.1690657685836763,0.6809434267167276
conditions privacy,0.1690657685836763,0.6809434267167276
forecast information,0.1690657685836763,0.6809434267167276
radar current,0.1690657685836763,0.6809434267167276
com welcome,0.1690657685836763,0.6809434267167276
385 science,0.1690657685836763,0.6809434267167276
